DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400721,237,4,1,4,"130,818512248558",3,1,4,2,11,1,1,2,2,2,1.0,2.0,2.0,1.0,2.0,1,2,,,,,,1.0,2,2018
400722,237,4,1,4,"125,497764148567",12,1,4,3,1,1,1,2,2,2,1.0,2.0,2.0,1.0,2.0,1,2,,,,,,3.0,2,2018
400722,237,1,1,1,"125,497764148567",12,1,4,3,1,1,1,2,2,2,1.0,2.0,2.0,1.0,2.0,1,2,,,,,,3.0,2,2018
400723,237,1,1,1,"132,52332523914",9,1,1,2,3,2,1,2,2,2,,,,,,2,2,,,,,,5.0,2,2018
400723,237,2,1,2,"132,52332523914",6,1,4,3,2,2,1,2,1,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400735,237,3,1,3,"129,619794244779",9,1,4,2,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,6.0,2,2018
400741,237,2,1,2,"141,765274433119",12,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400746,237,1,1,1,"106,422086540401",9,1,4,2,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400749,237,9,1,9,"142,814748987088",4,1,4,3,1,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400754,237,3,1,3,"120,527147604591",6,1,3,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400761,237,4,1,4,"145,603312799514",2,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,2,,,,,,1.0,2,2018
400763,237,2,1,2,"125,69544229701",6,1,4,4,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400777,237,6,1,6,"115,544271013478",11,1,4,2,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400777,237,2,1,2,"115,544271013478",3,1,4,3,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,1,2018
400777,237,3,1,3,"115,544271013478",3,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400781,237,1,1,1,"113,678862646032",10,1,4,4,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,2.0,2.0,,2,2018
400792,237,2,1,2,"416,427650686789",7,2,3,3,3,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400794,237,4,1,4,"515,899736666369",6,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400802,237,7,1,7,"507,081620478789",2,1,6,1,9,1,2,1,2,2,2.0,2.0,2.0,2.0,1.0,2,1,1.0,1.0,6.0,1.0,,,2,2018
400821,237,1,1,1,"543,870445526089",1,2,3,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400822,237,2,1,2,"457,096543670539",11,2,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400822,237,5,1,5,"457,096543670539",8,2,3,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2,2018
400831,237,2,1,2,"416,427650686789",6,2,4,2,9,1,1,1,1,2,1.0,2.0,2.0,2.0,2.0,1,1,2.0,2.0,6.0,1.0,,,2,2018
400846,237,3,1,3,"136,461837553001",12,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,3.0,1.0,5.0,2.0,1.0,,2,2018
400849,237,3,1,3,"118,032046505817",5,1,4,4,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400865,237,1,1,1,"135,528087403567",1,1,4,3,2,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2,2018
400869,237,1,1,1,"101,432738797599",12,1,4,1,7,1,1,2,2,2,2.0,2.0,2.0,2.0,1.0,2,2,,,,,,3.0,2,2018
400872,237,1,1,1,"128,044467915359",6,1,3,4,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,3.0,2.0,2.0,1.0,,,2,2018
400873,237,2,1,2,"116,267468170883",11,1,4,4,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,5.0,2,2018
400874,237,2,1,2,"116,961964952862",6,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400882,237,1,1,1,"102,260871555837",2,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400883,237,1,1,1,"93,062924683919",2,1,3,3,7,1,1,1,2,2,2.0,2.0,2.0,1.0,2.0,2,1,1.0,1.0,5.0,2.0,2.0,,2,2018
400889,237,2,1,2,"776,099925990777",11,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400891,237,1,1,1,"462,567462624241",2,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
