DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto
503779,237,3,1,3,"132,825231182095",3,1,9,2,2,1,1,2,2,2,2.0,2.0,2.0,2.0,1.0,2,1,2.0,1.0,4.0,1.0,,,2
503782,237,6,2,1,"132,032089756126",12,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,2,,,,,,1.0,2
503783,237,3,1,3,"105,282573904331",2,1,4,2,5,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
503787,237,2,1,2,"87,8098298252271",1,1,4,2,5,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
503788,237,5,1,5,"104,306225310998",6,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503791,237,1,1,1,"76,4815352823855",6,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
503799,237,1,1,1,"276,065345813144",12,1,1,3,3,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
503801,237,1,1,1,"270,748961052409",9,1,7,3,4,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,1
503814,237,2,1,2,"268,179618281176",11,1,4,4,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503815,237,4,1,4,"207,176842466183",10,1,1,3,3,2,1,2,2,2,,,,,,2,1,4.0,,4.0,,,,2
503822,237,4,1,4,"220,659460333402",11,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503834,237,2,1,2,"314,416877551572",12,1,3,4,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503866,237,1,1,1,"242,283982261432",9,1,4,3,2,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2
503880,237,1,1,1,"858,64236363638",4,1,7,2,9,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503893,237,1,1,1,"43,6589742825004",3,1,3,3,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
503895,237,4,1,4,"43,980915279202",6,1,4,4,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,1,1,3.0,1.0,1.0,2.0,1.0,,1
503914,237,1,1,1,"38,3765412464519",6,1,3,2,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
503916,237,1,1,1,"38,650261650024",7,1,3,2,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
503926,237,1,1,1,"42,9891285334956",9,1,7,2,7,2,2,2,2,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503933,237,1,1,1,"36,5903694093416",5,1,1,2,2,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
503934,237,1,1,1,"39,3832738289551",10,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503940,237,2,1,2,"95,103066351894",11,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503943,237,1,1,1,"82,6367657251092",12,1,7,2,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503943,237,2,1,2,"82,6367657251092",12,1,3,2,2,1,1,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
503943,237,3,1,3,"82,6367657251092",6,1,4,3,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,1,1,1.0,1.0,2.0,1.0,,,2
503951,237,1,1,1,"37,7489620798786",11,1,4,3,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,1.0,,,2
503956,237,1,1,1,"38,8933003736068",3,1,4,4,2,2,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
503958,237,2,1,2,"35,8049856965308",8,1,3,2,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2
503959,237,1,1,1,"41,0451521501478",12,1,3,4,2,1,1,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,1.0,2
503965,237,4,1,4,"40,6119014228626",9,1,1,3,2,2,1,2,2,2,,,,,,2,2,,,,,,6.0,2
503967,237,1,1,1,"828,758409560373",4,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,4.0,2
503988,237,1,1,1,"676,997578884242",11,1,1,4,2,1,1,2,2,2,,,,,,2,1,1.0,1.0,4.0,1.0,,,1
503993,237,2,1,2,"530,352868377953",6,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503993,237,3,1,3,"530,352868377953",6,1,4,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503993,237,4,1,4,"530,352868377953",11,1,3,4,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503999,237,1,1,1,"471,496222998038",7,1,3,1,2,1,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,1,1.0,1.0,5.0,2.0,3.0,,2
504002,237,1,1,1,"730,381000934644",3,1,1,2,2,2,1,1,2,2,,,,,,2,2,,,,,,7.0,2
504008,237,2,1,2,"67,1210972789062",8,1,3,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,6.0,2.0,1.0,,2
504010,237,2,1,2,"57,5122318386473",10,1,4,3,2,1,1,1,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
504020,237,1,1,1,"61,5502702167535",6,1,4,2,2,2,1,1,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
504022,237,2,1,2,"57,1411160056214",2,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
